Test Template			Options:	Options:	Options:	Options:	Options	Options:	Options:
			sec	Go to Next Step	None	0	0	0	0
			min	Loop to Step 0	Measure Signal	1	1	1	1
Description:	Example Test		hr	Loop to Step N	Display Plot				
Loop Limit:	5			Stop Test Mode	Save to File				
Continue at Loop Limit:	NO			Stop Test Program					
Step N:	2								
									
									
									
									
Test Step Number:	Step Description:	Time Target:	Time Units:	Step End Action:	Custom Actions:	9481 ch0:	9481 ch1:	9481 ch2:	9481 ch3:
0	Step Zero	1.000	sec	Go to Next Step	None	0	0	0	0
1	Step One	10.000	sec	Go to Next Step	None	0	0	0	0
2	Step Two	10.000	sec	Loop to Step 0	None	0	0	0	0
